"","winr","pbr","Tier"
"218",0.416326530612245,0.346938775510204,"S"
"219",0.416326530612245,0.36734693877551,"God"
"220",0.416326530612245,0.387755102040816,"God"
"221",0.416326530612245,0.408163265306122,"God"
"222",0.416326530612245,0.428571428571429,"God"
"223",0.416326530612245,0.448979591836735,"God"
"224",0.416326530612245,0.469387755102041,"God"
"225",0.416326530612245,0.489795918367347,"God"
"226",0.416326530612245,0.510204081632653,"God"
"227",0.416326530612245,0.530612244897959,"God"
"228",0.416326530612245,0.551020408163265,"God"
"229",0.416326530612245,0.571428571428571,"God"
"230",0.416326530612245,0.591836734693878,"God"
"231",0.416326530612245,0.612244897959184,"God"
"232",0.416326530612245,0.63265306122449,"God"
"233",0.416326530612245,0.653061224489796,"God"
"234",0.416326530612245,0.673469387755102,"God"
"235",0.416326530612245,0.693877551020408,"God"
"236",0.416326530612245,0.714285714285714,"God"
"237",0.416326530612245,0.73469387755102,"God"
"238",0.416326530612245,0.755102040816326,"God"
"239",0.416326530612245,0.775510204081633,"God"
"240",0.416326530612245,0.795918367346939,"God"
"241",0.416326530612245,0.816326530612245,"God"
"242",0.416326530612245,0.836734693877551,"God"
"243",0.416326530612245,0.857142857142857,"God"
"244",0.416326530612245,0.877551020408163,"God"
"245",0.416326530612245,0.897959183673469,"God"
"246",0.416326530612245,0.918367346938775,"God"
"247",0.416326530612245,0.938775510204082,"God"
"248",0.416326530612245,0.959183673469388,"God"
"249",0.416326530612245,0.979591836734694,"God"
"250",0.416326530612245,1,"God"
"251",0.420408163265306,0,"C"
"252",0.420408163265306,0.0204081632653061,"D"
"253",0.420408163265306,0.0408163265306122,"B"
"254",0.420408163265306,0.0612244897959184,"B"
"255",0.420408163265306,0.0816326530612245,"A"
"256",0.420408163265306,0.102040816326531,"S"
"257",0.420408163265306,0.122448979591837,"S"
"258",0.420408163265306,0.142857142857143,"S"
"259",0.420408163265306,0.163265306122449,"S"
"260",0.420408163265306,0.183673469387755,"S"
"261",0.420408163265306,0.204081632653061,"S"
"262",0.420408163265306,0.224489795918367,"S"
"263",0.420408163265306,0.244897959183673,"S"
"264",0.420408163265306,0.26530612244898,"S"
"265",0.420408163265306,0.285714285714286,"S"
"266",0.420408163265306,0.306122448979592,"S"
"267",0.420408163265306,0.326530612244898,"S"
"268",0.420408163265306,0.346938775510204,"S"
"269",0.420408163265306,0.36734693877551,"God"
"270",0.420408163265306,0.387755102040816,"God"
"271",0.420408163265306,0.408163265306122,"God"
"272",0.420408163265306,0.428571428571429,"God"
"273",0.420408163265306,0.448979591836735,"God"
"274",0.420408163265306,0.469387755102041,"God"
"275",0.420408163265306,0.489795918367347,"God"
"276",0.420408163265306,0.510204081632653,"God"
"277",0.420408163265306,0.530612244897959,"God"
"278",0.420408163265306,0.551020408163265,"God"
"279",0.420408163265306,0.571428571428571,"God"
"280",0.420408163265306,0.591836734693878,"God"
"281",0.420408163265306,0.612244897959184,"God"
"282",0.420408163265306,0.63265306122449,"God"
"283",0.420408163265306,0.653061224489796,"God"
"284",0.420408163265306,0.673469387755102,"God"
"285",0.420408163265306,0.693877551020408,"God"
"286",0.420408163265306,0.714285714285714,"God"
"287",0.420408163265306,0.73469387755102,"God"
"288",0.420408163265306,0.755102040816326,"God"
"289",0.420408163265306,0.775510204081633,"God"
"290",0.420408163265306,0.795918367346939,"God"
"291",0.420408163265306,0.816326530612245,"God"
"292",0.420408163265306,0.836734693877551,"God"
"293",0.420408163265306,0.857142857142857,"God"
"294",0.420408163265306,0.877551020408163,"God"
"295",0.420408163265306,0.897959183673469,"God"
"296",0.420408163265306,0.918367346938775,"God"
"297",0.420408163265306,0.938775510204082,"God"
"298",0.420408163265306,0.959183673469388,"God"
"299",0.420408163265306,0.979591836734694,"God"
"300",0.420408163265306,1,"God"
"301",0.424489795918367,0,"C"
"302",0.424489795918367,0.0204081632653061,"D"
"303",0.424489795918367,0.0408163265306122,"B"
"304",0.424489795918367,0.0612244897959184,"B"
"305",0.424489795918367,0.0816326530612245,"A"
"306",0.424489795918367,0.102040816326531,"S"
"307",0.424489795918367,0.122448979591837,"S"
"308",0.424489795918367,0.142857142857143,"S"
"309",0.424489795918367,0.163265306122449,"S"
"310",0.424489795918367,0.183673469387755,"S"
"311",0.424489795918367,0.204081632653061,"S"
"312",0.424489795918367,0.224489795918367,"S"
"313",0.424489795918367,0.244897959183673,"S"
"314",0.424489795918367,0.26530612244898,"S"
"315",0.424489795918367,0.285714285714286,"S"
"316",0.424489795918367,0.306122448979592,"S"
"317",0.424489795918367,0.326530612244898,"S"
"318",0.424489795918367,0.346938775510204,"S"
"319",0.424489795918367,0.36734693877551,"God"
"320",0.424489795918367,0.387755102040816,"God"
"321",0.424489795918367,0.408163265306122,"God"
"322",0.424489795918367,0.428571428571429,"God"
"323",0.424489795918367,0.448979591836735,"God"
"324",0.424489795918367,0.469387755102041,"God"
"325",0.424489795918367,0.489795918367347,"God"
"326",0.424489795918367,0.510204081632653,"God"
