"","Name","Class","Role","Tier","Score","Trend","Win..","Role..","Pick..","Ban..","KDA","Patch"
"255","Akali","Assassin","MID","A",51.77,"999NEW",0.4611,0.7236,0.0836,0.0718,2.29,"13_3"
"256","Akali","Assassin","TOP","B",46.53,"999NEW",0.4716,0.2692,0.0326,0.0766,1.97,"13_3"
"257","Akshan","Marksman","MID","A",51.09,"999NEW",0.5173,0.749,0.0325,0.0343,2.22,"13_3"
"258","Akshan","Marksman","TOP","C",42.53,"999NEW",0.5048,0.1913,0.0085,0.031,1.81,"13_3"
"259","Alistar","Tank","SUPPORT","A",48.7,"999NEW",0.4895,0.829,0.0452,0.0139,2.39,"13_3"
"260","Alistar","Tank","TOP","D",26.6,"999NEW",0.4163,0.1428,0.0083,0.0133,1.91,"13_3"
"261","Amumu","Tank","SUPPORT","S",54.37,"999NEW",0.5148,0.6352,0.0581,0.0752,2.09,"13_3"
"262","Amumu","Tank","JUNGLE","A",52.83,"999NEW",0.5157,0.3641,0.0401,0.0818,2.62,"13_3"
"263","Anivia","Mage","MID","A",52.1,"999NEW",0.5044,0.7998,0.0327,0.064,2.88,"13_3"
"264","Anivia","Mage","SUPPORT","C",41.7,"999NEW",0.4909,0.1299,0.0041,0.0693,2.31,"13_3"
"265","Annie","Mage","SUPPORT","God",65.11,"999NEW",0.5457,0.4735,0.0651,0.1961,2.63,"13_3"
"266","Annie","Mage","MID","S",62.31,"999NEW",0.5413,0.4957,0.0602,0.1961,2.5,"13_3"
"267","Aphelios","Marksman","ADC","D",25.53,"999NEW",0.4459,0.953,0.0389,0.0017,1.89,"13_3"
"268","Ashe","Marksman","SUPPORT","God",90.21,"999NEW",0.5015,0.7783,0.1715,0.3721,2.28,"13_3"
"269","Ashe","Marksman","ADC","C",41.59,"999NEW",0.4888,0.2202,0.0416,0.3588,2.33,"13_3"
"270","Aurelion Sol","Mage","MID","God",89.24,"999NEW",0.4996,0.7921,0.1762,0.3934,2.47,"13_3"
"271","Azir","Mage","MID","D",38.93,"999NEW",0.439,0.8484,0.0366,0.008,1.98,"13_3"
"272","Bard","Support","SUPPORT","B",47.04,"999NEW",0.4937,0.9638,0.0207,0.001,2.81,"13_3"
"273","Bel'Veth","Fighter","JUNGLE","B",45.27,"999NEW",0.4925,0.8274,0.0245,0.0087,2.35,"13_3"
"274","Bel'Veth","Fighter","SUPPORT","C",42.76,"999NEW",0.5032,0.1776,0.0036,0.0087,2.13,"13_3"
"275","Blitzcrank","Tank","SUPPORT","God",90.39,"999NEW",0.5159,0.9707,0.1488,0.4416,2.37,"13_3"
"276","Brand","Mage","SUPPORT","B",44.63,"999NEW",0.5104,0.6651,0.016,0.0068,1.81,"13_3"
"277","Brand","Mage","MID","C",39.39,"999NEW",0.4736,0.168,0.004,0.0061,2.06,"13_3"
