"","Name","Class","Role","Tier","Score","Trend","Win..","Role..","Pick..","Ban..","KDA","Patch"
"128","Nocturne","Assassin","JUNGLE","B",44.17,"-4.22",0.4905,0.9147,0.0326,0.015,2.56,"13_1"
"129","Nunu","Tank","JUNGLE","A",50.57,"5.75",0.4803,0.9356,0.0532,0.0247,2.79,"13_1"
"130","Olaf","Fighter","TOP","A",51.89,"4.06",0.5098,0.7292,0.0372,0.027,1.82,"13_1"
"131","Olaf","Fighter","JUNGLE","D",32.92,"1.79",0.4776,0.2475,0.0103,0.027,2.33,"13_1"
"132","Orianna","Mage","MID","A",49.58,"3.95",0.5093,0.9003,0.0228,0.0015,2.67,"13_1"
"133","Ornn","Tank","TOP","A",53.27,"2.26",0.4928,0.9321,0.0425,0.0058,2.41,"13_1"
"134","Pantheon","Fighter","MID","B",48.22,"-4.09",0.5151,0.304,0.02,0.0145,2.31,"13_1"
"135","Pantheon","Fighter","TOP","B",46.74,"-0.53",0.5003,0.3382,0.022,0.0145,1.99,"13_1"
"136","Pantheon","Fighter","SUPPORT","D",29.41,"-11.68",0.4756,0.2598,0.0186,0.0157,1.92,"13_1"
"137","Poppy","Tank","TOP","B",45.56,"8.9",0.5009,0.478,0.014,0.0059,2.18,"13_1"
"138","Poppy","Tank","JUNGLE","D",32.41,"4.45",0.4683,0.4502,0.0112,0.0053,2.55,"13_1"
"139","Pyke","Support","SUPPORT","S",62.77,"-5.35",0.4898,0.9449,0.0769,0.1445,2.22,"13_1"
"140","Qiyana","Assassin","MID","B",45.93,"-1.04",0.4912,0.8709,0.0281,0.0095,2.15,"13_1"
"141","Quinn","Marksman","TOP","B",46.69,"3.08",0.5151,0.7898,0.0149,0.0083,1.87,"13_1"
"142","Quinn","Marksman","MID","C",40.89,"-1.74",0.51,0.1004,0.0019,0.0083,2.08,"13_1"
"143","Rakan","Support","SUPPORT","A",55.76,"4.14",0.5176,0.9828,0.0475,0.0021,3.08,"13_1"
"144","Rammus","Tank","MID","C",39.83,"999NEW",0.4974,0.1041,9e-04,0.0606,2.4,"13_1"
"145","Rammus","Tank","JUNGLE","C",38.02,"-30.38",0.463,0.8498,0.0251,0.0585,2.82,"13_1"
"146","Rek'Sai","Fighter","JUNGLE","C",40.66,"9.07",0.4952,0.955,0.0206,0.0087,2.53,"13_1"
"147","Rell","Tank","SUPPORT","A",48.76,"-0.46",0.5358,0.9874,0.0268,0.0047,2.6,"13_1"
"148","Renata Glasc","Support","SUPPORT","B",47.2,"-9.19",0.4946,0.9906,0.0421,0.0185,2.72,"13_1"
"149","Renekton","Fighter","TOP","B",48.15,"-0.44",0.4783,0.8268,0.0443,0.0184,1.8,"13_1"
"150","Renekton","Fighter","MID","C",37.63,"-5.31",0.4825,0.1616,0.0078,0.0184,1.98,"13_1"
"151","Rengar","Assassin","JUNGLE","B",44.71,"-3.47",0.4776,0.7176,0.0415,0.0729,2.34,"13_1"
"152","Rengar","Assassin","TOP","B",42.77,"1.51",0.4891,0.2536,0.0149,0.0729,1.92,"13_1"
"153","Riven","Fighter","TOP","A",51.3,"-0.26",0.4893,0.911,0.0472,0.0114,1.9,"13_1"
"154","Rumble","Fighter","MID","A",50.72,"3.36",0.5276,0.55,0.0167,0.007,2.64,"13_1"
"155","Rumble","Fighter","TOP","C",39.65,"4.04",0.4779,0.3043,0.0079,0.007,2.15,"13_1"
"156","Rumble","Fighter","JUNGLE","D",33.46,"10.73",0.4825,0.1126,0.0035,0.007,2.77,"13_1"
"157","Ryze","Mage","MID","God",67.98,"24.23",0.4965,0.8837,0.0867,0.0637,2.48,"13_1"
"158","Ryze","Mage","TOP","B",43.04,"12.81",0.4981,0.105,0.0095,0.0526,2,"13_1"
"159","Samira","Marksman","ADC","God",69.53,"4.58",0.5183,0.9772,0.1178,0.1812,2.35,"13_1"
"160","Sejuani","Tank","JUNGLE","B",47.68,"-0.18",0.4924,0.7459,0.0327,0.0052,3.27,"13_1"
"161","Sejuani","Tank","TOP","B",47.63,"3.18",0.5145,0.1914,0.0082,0.0055,2.42,"13_1"
"162","Senna","Marksman","SUPPORT","A",49.85,"-8.43",0.4951,0.9191,0.05,0.0183,2.57,"13_1"
"163","Seraphine","Mage","SUPPORT","A",50.51,"-2.26",0.5067,0.5577,0.0457,0.0195,2.56,"13_1"
"164","Seraphine","Mage","ADC","B",47.52,"1.06",0.5298,0.342,0.0229,0.0186,3.02,"13_1"
"165","Seraphine","Mage","MID","B",43.66,"-0.88",0.4903,0.1471,0.0102,0.0195,2.91,"13_1"
"166","Sett","Fighter","TOP","S",57.43,"-3.51",0.5055,0.8103,0.0598,0.0325,1.77,"13_1"
"167","Shaco","Assassin","JUNGLE","S",56.81,"-2.78",0.5034,0.8089,0.0514,0.106,2.97,"13_1"
